beds,price,number_of_reviews
1,90.00,0
4,200.00,0
1,54.00,0
1,260.00,0
2,105.00,55
1,55.00,38
2,136.00,54
3,224.00,181
1,80.00,44
1,100.00,0
1,75.00,20
1,30.00,7
2,68.00,69
1,56.00,5
1,115.00,0
1,50.00,16
2,299.00,0
2,250.00,0
2,50.00,7
1,70.00,3
5,400.00,23
1,65.00,3
1,78.00,52
2,89.00,61
1,100.00,114
1,99.00,25
1,70.00,12
1,60.00,9
2,100.00,72
1,60.00,9
1,145.00,123
1,69.00,57
1,399.00,0
1,80.00,27
5,120.00,0
1,75.00,0
1,50.00,1
2,100.00,72
1,35.00,44
1,40.00,18
1,40.00,13
2,150.00,35
1,500.00,0
2,120.00,286
1,65.00,0
3,250.00,17
4,235.00,12
2,129.00,7
1,250.00,11
3,227.00,83
1,40.00,27
1,118.00,37
2,174.00,0
4,250.00,39
1,99.00,26
1,76.00,46
1,98.00,63
1,40.00,20
2,160.00,0
2,400.00,12
1,250.00,0
2,449.00,20
1,122.00,17
2,209.00,44
1,140.00,15
1,210.00,81
1,295.00,7
1,160.00,33
1,215.00,33
1,144.00,34
2,275.00,8
2,500.00,0
1,129.00,262
1,60.00,1
1,225.00,0
2,650.00,7
2,1000.00,0
1,165.00,0
1,229.00,45
1,250.00,20
1,220.00,15
2,300.00,2
1,175.00,0
1,92.00,0
1,169.00,0
2,285.00,5
1,129.00,245
1,95.00,3
2,375.00,24
6,600.00,0
1,155.00,22
5,500.00,0
1,527.00,0
1,350.00,0
2,400.00,0
2,129.00,9
2,250.00,0
1,350.00,52
1,100.00,0
1,60.00,125
3,5000.00,0
1,140.00,17
2,113.00,2
4,950.00,7
3,516.00,40
3,395.00,3
1,300.00,0
2,323.00,26
3,995.00,0
1,213.00,33
1,149.00,0
1,142.00,33
1,225.00,2
4,1200.00,1
2,265.00,11
1,60.00,0
2,400.00,0
1,125.00,5
2,800.00,0
2,400.00,7
2,280.00,1
4,325.00,21
1,200.00,11
3,750.00,22
1,90.00,0
1,129.00,233
2,600.00,0
2,395.00,0
1,1000.00,0
1,100.00,4
1,195.00,20
3,495.00,0
1,306.00,0
1,145.00,2
3,360.00,13
1,155.00,0
1,56.00,111
1,110.00,11
1,73.00,0
1,100.00,0
3,220.00,29
1,90.00,1
1,125.00,0
2,250.00,3
1,200.00,1
2,290.00,7
3,400.00,15
1,91.00,21
2,499.00,0
3,445.00,0
2,550.00,41
4,420.00,81
2,250.00,3
2,1000.00,1
1,198.00,0
1,199.00,0
1,175.00,0
3,525.00,71
